1.000000000000000000e+00,1.025349441055179511e+01,1.021741771697998047e+01
2.000000000000000000e+00,9.881219908248546346e+00,1.045951080322265625e+01
3.000000000000000000e+00,9.427311372387316979e+00,1.247115039825439453e+01
4.000000000000000000e+00,8.925540768822958881e+00,1.591362667083740234e+01
5.000000000000000000e+00,8.614242063320268983e+00,1.569150924682617188e+01
6.000000000000000000e+00,8.447556017597207756e+00,2.365529632568359375e+01
7.000000000000000000e+00,8.179886092203224379e+00,9.616765022277832031e+00
8.000000000000000000e+00,7.695372963444515158e+00,2.579296684265136719e+01
9.000000000000000000e+00,7.016729575410986186e+00,2.362026214599609375e+01
1.000000000000000000e+01,6.167603926449166885e+00,7.980206489562988281e+00
1.100000000000000000e+01,5.234608976723920115e+00,1.943754196166992188e+01
1.200000000000000000e+01,4.216277086765575000e+00,6.716623783111572266e+00
1.300000000000000000e+01,3.146099619779167966e+00,4.951298236846923828e+00
1.400000000000000000e+01,2.164770444234212388e+00,2.779825925827026367e+00
1.500000000000000000e+01,1.413607630618783029e+00,2.304480791091918945e+00
1.600000000000000000e+01,9.385438321172728804e-01,1.866539478302001953e+00
1.700000000000000000e+01,6.399366593792148450e-01,1.723862409591674805e+00
1.800000000000000000e+01,4.657276426020826587e-01,1.515885949134826660e+00
1.900000000000000000e+01,3.397459964573537605e-01,1.154392719268798828e+00
2.000000000000000000e+01,2.739857898048035922e-01,1.595536708831787109e+00
2.100000000000000000e+01,2.342658704411459958e-01,1.212303161621093750e+00
2.200000000000000000e+01,2.137184516558043312e-01,2.090855598449707031e+00
2.300000000000000000e+01,2.259287534989127821e-01,1.015644788742065430e+00
2.400000000000000000e+01,1.635281932985443720e-01,1.029468655586242676e+00
2.500000000000000000e+01,1.382848333942797714e-01,1.020846247673034668e+00
2.600000000000000000e+01,9.956359052765892392e-02,1.056615948677062988e+00
2.700000000000000000e+01,8.295618831264264803e-02,8.982117772102355957e-01
2.800000000000000000e+01,7.006262304400905083e-02,9.171258211135864258e-01
2.900000000000000000e+01,6.222863586797578589e-02,8.952382802963256836e-01
3.000000000000000000e+01,5.546772759167106770e-02,8.995920419692993164e-01
3.100000000000000000e+01,5.123460530580168509e-02,8.616609573364257812e-01
3.200000000000000000e+01,4.780646969951708736e-02,8.402508497238159180e-01
3.300000000000000000e+01,4.626204327557437851e-02,8.581517934799194336e-01
3.400000000000000000e+01,4.264365435994256492e-02,8.639852404594421387e-01
3.500000000000000000e+01,4.129105687468705155e-02,9.383164644241333008e-01
3.600000000000000000e+01,3.711520722593139587e-02,8.908726572990417480e-01
3.700000000000000000e+01,3.407112637038994807e-02,9.214555621147155762e-01
3.800000000000000000e+01,3.241495586912453153e-02,9.446589350700378418e-01
3.900000000000000000e+01,3.217557924065633096e-02,9.875379204750061035e-01
4.000000000000000000e+01,3.107686733552651737e-02,9.642984867095947266e-01
4.100000000000000000e+01,3.047756211548196398e-02,1.005493879318237305e+00
4.200000000000000000e+01,2.688574953635225473e-02,9.263015389442443848e-01
4.300000000000000000e+01,2.707987419721846062e-02,1.017256021499633789e+00
4.400000000000000000e+01,2.501351717445585501e-02,9.660758972167968750e-01
4.500000000000000000e+01,2.361492105598443636e-02,1.028973937034606934e+00
4.600000000000000000e+01,2.316514380006673077e-02,1.020773172378540039e+00
4.700000000000000000e+01,2.160476219842754134e-02,1.105506658554077148e+00
4.800000000000000000e+01,1.843709314304574701e-02,1.084898352622985840e+00
4.900000000000000000e+01,1.710714887134557466e-02,1.095238924026489258e+00
5.000000000000000000e+01,1.537944636131980888e-02,1.157898068428039551e+00
